VideoPath,Report,DVD,VideoName,EventId,FrameTime,AbsoluteFrameNumber,RelativeFrameNumber,Tags,FramePath,FrameName,OriginalDataset
CIMRL10-676_OK\PIDF-1_PO_MRL-021_parte3.mpg,CIMRL10-676_OK,,PIDF-1_PO_MRL-021_parte3.mpg,,,,,evento-dano,..\datasets\all_datasets\12042019_dataset_eventos_handpick_2\CIMRL10-676_OK\PIDF-1_PO_MRL-021_parte3\Dano\PIDF-1_PO_MRL-021_parte3.mpg_111240.jpg,PIDF-1_PO_MRL-021_parte3.mpg_111240.jpg,12042019_dataset_eventos_handpick_2
CIMRL10-676_OK\PIDF-1_PO_MRL-021_parte3.mpg,CIMRL10-676_OK,,PIDF-1_PO_MRL-021_parte3.mpg,,,,,evento-dano,..\datasets\all_datasets\12042019_dataset_eventos_handpick_2\CIMRL10-676_OK\PIDF-1_PO_MRL-021_parte3\Dano\PIDF-1_PO_MRL-021_parte3.mpg_111480.jpg,PIDF-1_PO_MRL-021_parte3.mpg_111480.jpg,12042019_dataset_eventos_handpick_2
CIMRL10-676_OK\PIDF-1_PO_MRL-021_parte3.mpg,CIMRL10-676_OK,,PIDF-1_PO_MRL-021_parte3.mpg,,,,,evento-dano,..\datasets\all_datasets\12042019_dataset_eventos_handpick_2\CIMRL10-676_OK\PIDF-1_PO_MRL-021_parte3\Dano\PIDF-1_PO_MRL-021_parte3.mpg_111960.jpg,PIDF-1_PO_MRL-021_parte3.mpg_111960.jpg,12042019_dataset_eventos_handpick_2
CIMRL10-676_OK\PIDF-1_PO_MRL-021_parte3.mpg,CIMRL10-676_OK,,PIDF-1_PO_MRL-021_parte3.mpg,,,,,evento-dano,..\datasets\all_datasets\12042019_dataset_eventos_handpick_2\CIMRL10-676_OK\PIDF-1_PO_MRL-021_parte3\Dano\PIDF-1_PO_MRL-021_parte3.mpg_112440.jpg,PIDF-1_PO_MRL-021_parte3.mpg_112440.jpg,12042019_dataset_eventos_handpick_2
CIMRL10-676_OK\PIDF-1_PO_MRL-021_parte3.mpg,CIMRL10-676_OK,,PIDF-1_PO_MRL-021_parte3.mpg,,,,,evento-dano,..\datasets\all_datasets\12042019_dataset_eventos_handpick_2\CIMRL10-676_OK\PIDF-1_PO_MRL-021_parte3\Dano\PIDF-1_PO_MRL-021_parte3.mpg_114840.jpg,PIDF-1_PO_MRL-021_parte3.mpg_114840.jpg,12042019_dataset_eventos_handpick_2
CIMRL10-676_OK\PIDF-1_PO_MRL-021_parte3.mpg,CIMRL10-676_OK,,PIDF-1_PO_MRL-021_parte3.mpg,,,,,evento-dano,..\datasets\all_datasets\12042019_dataset_eventos_handpick_2\CIMRL10-676_OK\PIDF-1_PO_MRL-021_parte3\Dano\PIDF-1_PO_MRL-021_parte3.mpg_115080.jpg,PIDF-1_PO_MRL-021_parte3.mpg_115080.jpg,12042019_dataset_eventos_handpick_2
CIMRL10-676_OK\PIDF-1_PO_MRL-021_parte3.mpg,CIMRL10-676_OK,,PIDF-1_PO_MRL-021_parte3.mpg,,,,,evento-dano,..\datasets\all_datasets\12042019_dataset_eventos_handpick_2\CIMRL10-676_OK\PIDF-1_PO_MRL-021_parte3\Dano\PIDF-1_PO_MRL-021_parte3.mpg_118920.jpg,PIDF-1_PO_MRL-021_parte3.mpg_118920.jpg,12042019_dataset_eventos_handpick_2
CIMRL10-676_OK\PIDF-1_PO_MRL-021_parte3.mpg,CIMRL10-676_OK,,PIDF-1_PO_MRL-021_parte3.mpg,,,,,evento-dano,..\datasets\all_datasets\12042019_dataset_eventos_handpick_2\CIMRL10-676_OK\PIDF-1_PO_MRL-021_parte3\Dano\PIDF-1_PO_MRL-021_parte3.mpg_149040.jpg,PIDF-1_PO_MRL-021_parte3.mpg_149040.jpg,12042019_dataset_eventos_handpick_2
CIMRL10-676_OK\PIDF-1_PO_MRL-021_parte3.mpg,CIMRL10-676_OK,,PIDF-1_PO_MRL-021_parte3.mpg,,,,,evento-dano,..\datasets\all_datasets\12042019_dataset_eventos_handpick_2\CIMRL10-676_OK\PIDF-1_PO_MRL-021_parte3\Dano\PIDF-1_PO_MRL-021_parte3.mpg_152760.jpg,PIDF-1_PO_MRL-021_parte3.mpg_152760.jpg,12042019_dataset_eventos_handpick_2
CIMRL10-676_OK\PIDF-1_PO_MRL-021_parte3.mpg,CIMRL10-676_OK,,PIDF-1_PO_MRL-021_parte3.mpg,,,,,evento-dano,..\datasets\all_datasets\12042019_dataset_eventos_handpick_2\CIMRL10-676_OK\PIDF-1_PO_MRL-021_parte3\Dano\PIDF-1_PO_MRL-021_parte3.mpg_156240.jpg,PIDF-1_PO_MRL-021_parte3.mpg_156240.jpg,12042019_dataset_eventos_handpick_2
