VideoName,Class,StartTime,EndTime,Id
20161101235538296@DVR-SPARE_Ch1.wmv,,,,01
20161101235538296@DVR-SPARE_Ch1.wmv,,,,02
20161101235538296@DVR-SPARE_Ch1.wmv,,,,03
20161101235538296@DVR-SPARE_Ch1.wmv,,,,04
20161101235538296@DVR-SPARE_Ch1.wmv,,,,05
20161101235538296@DVR-SPARE_Ch1.wmv,,,,06
20161101235538296@DVR-SPARE_Ch1.wmv,,,,07
20161101235538296@DVR-SPARE_Ch1.wmv,,,,08
20161101235538296@DVR-SPARE_Ch1.wmv,,,,09
20161101235538296@DVR-SPARE_Ch1.wmv,,,,10
20161101235538296@DVR-SPARE_Ch1.wmv,,,,11
20161101235538296@DVR-SPARE_Ch1.wmv,,,,12
20161101235538296@DVR-SPARE_Ch1.wmv,,,,13
20161101235538296@DVR-SPARE_Ch1.wmv,,,,14
20161101235538296@DVR-SPARE_Ch1.wmv,,,,15
20161101235538296@DVR-SPARE_Ch1.wmv,,,,16
20161101235538296@DVR-SPARE_Ch1.wmv,,,,17
20161101235538296@DVR-SPARE_Ch1.wmv,,,,18
20161101235538296@DVR-SPARE_Ch1.wmv,,,,19
20161101235538296@DVR-SPARE_Ch1.wmv,,,,20
20161101235538296@DVR-SPARE_Ch1.wmv,,,,21
20161101235538296@DVR-SPARE_Ch1.wmv,,,,22
20161101235538296@DVR-SPARE_Ch1.wmv,,,,23
20161101235538296@DVR-SPARE_Ch1.wmv,,,,24
20161101235538296@DVR-SPARE_Ch1.wmv,,,,25
20161101235538296@DVR-SPARE_Ch1.wmv,,,,26
20161101235538296@DVR-SPARE_Ch1.wmv,,,,27
20161101235538296@DVR-SPARE_Ch1.wmv,,,,28
20161101235538296@DVR-SPARE_Ch1.wmv,,,,29
20161101235538296@DVR-SPARE_Ch1.wmv,,,,30
,,,,
,,,,
,,,,
