VideoName,Class,StartTime,EndTime,Id
20161101212059250@DVR-SPARE_Ch1.wmv,tubo,000000,000021,01
20161101212059250@DVR-SPARE_Ch1.wmv,nada,000021,000030,02
20161101212059250@DVR-SPARE_Ch1.wmv,tubo,000030,000038,03
20161101212059250@DVR-SPARE_Ch1.wmv,nada,000038,000041,04
20161101212059250@DVR-SPARE_Ch1.wmv,tubo,000041,000107,05
20161101212059250@DVR-SPARE_Ch1.wmv,nada,000107,000229,06
20161101212059250@DVR-SPARE_Ch1.wmv,conf,000229,000234,07
20161101212059250@DVR-SPARE_Ch1.wmv,nada,000234,000303,08
20161101212059250@DVR-SPARE_Ch1.wmv,tubo,000303,000332,09
20161101212059250@DVR-SPARE_Ch1.wmv,nada,000332,000428,10
