VideoName,Class,StartTime,EndTime,Id,Obs
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,corr,001906,001910,01
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,corr,001920,001923,01
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,corr,002003,002014,01
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,corr,002531,002537,01
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,trin,002617,002638,02
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,trin,002644,002652,02
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,ente,005627,005650,03
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,ente,005716,005820,03
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,ente,005913,005922,03
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,ente,005943,010047,03
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,ente,010118,010123,03
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,alte,010621,010628,04
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,alte,010635,010636,04
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,corr,010910,012305,05
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,trin,012449,012508,06
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,trin,012516,012525,06
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,dano,013820,013822,07
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,dano,013830,013838,07
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,cruz,013844,013849,08
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,cruz,013900,013903,08
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,cruz,014410,014412,08
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,dano,014432,014434,07
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,cruz,014437,014439,08
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,dano,014457,014517,07
OS-6000427923 - SVTab17-001 - Rev. 0 - COMPLETO - 23-04-2017,cruz,014527,014530,08
