VideoName,Class,StartTime,EndTime,Id,Tags
FSll16-224_OK/DVD-3/VTS_01_1.mp4,evto,000000,000130,01,anodo-distante-erro1-erro2
FSll16-224_OK/DVD-3/VTS_01_1.mp4,nada,000138,000150,02,suspensao
FSll16-224_OK/DVD-3/VTS_01_1.mp4,evto,000154,000220,03,distante-anodo-erro2
FSll16-224_OK/DVD-3/VTS_01_1.mp4,evto,000222,000228,04,flange-erro1
FSll16-224_OK/DVD-3/VTS_01_1.mp4,evto,000239,000255,05,anodo-erro1
FSll16-224_OK/DVD-3/VTS_01_1.mp4,evto,000257,000325,06,peca-flange-fundo-zoom-erro1
FSll16-224_OK/DVD-3/VTS_01_1.mp4,evto,000330,000345,07,anodo-zoom-erro1
FSll16-224_OK/DVD-3/VTS_01_1.mp4,conf,000350,000354,08,anodo-distante-erro1
FSll16-224_OK/DVD-3/VTS_01_1.mp4,evto,000407,000414,09,flange-erro1
FSll16-224_OK/DVD-3/VTS_01_1.mp4,evto,000416,000419,10,anodo-dificil-erro1
FSll16-224_OK/DVD-3/VTS_01_1.mp4,conf,000420,000437,11,pecas-anodo-erro1
FSll16-224_OK/DVD-3/VTS_01_1.mp4,evto,000439,000451,12,anodo-flange-erro1
FSll16-224_OK/DVD-3/VTS_01_1.mp4,evto,000452,000453,13,flange-ponteira
FSll16-224_OK/DVD-3/VTS_01_1.mp4,conf,000455,000839,14,flange-muitozoom-parado-longo-ponteira
FSll16-224_OK/DVD-3/VTS_01_1.mp4,evto,000841,000852,15,flange-parado-ponteira-erro1
FSll16-224_OK/DVD-3/VTS_01_1.mp4,conf,000855,001114,16,flange-muitozoom-parado-longo
FSll16-224_OK/DVD-3/VTS_01_1.mp4,evto,001120,001144,17,flange-anodo-parado-ponteira-erro1
FSll16-224_OK/DVD-3/VTS_01_1.mp4,conf,001147,001412,18,muitozoom-anodo-ponteira-erro1
FSll16-224_OK/DVD-3/VTS_01_1.mp4,evto,001415,001448,19,flange-anodo-erro1
FSll16-224_OK/DVD-3/VTS_01_1.mp4,conf,001450,001645,20,parteduto-ponteira-erro1
FSll16-224_OK/DVD-3/VTS_01_1.mp4,evto,001657,001727,21,flange-erro1
FSll16-224_OK/DVD-3/VTS_01_1.mp4,evto,001730,001753,22,anodo-erro1
FSll16-224_OK/DVD-3/VTS_01_1.mp4,evto,001755,001803,23,anodo-flange-erro1
FSll16-224_OK/DVD-3/VTS_01_1.mp4,evto,001807,001836,24,flange-erro1
